Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime, Timeout
1.0, 2.0, 1.0, 10.0, 12.5, 0.0, 55.0, 25.0, 38.0, 0.0, 24.0, 16.0, 0
2.0, 2.0, 1.0, 4.44, 5.56, 0.0, 415.0, 106.0, 185.0, 2.0, 46.0, 18.0, 0
2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 219.0, 51.0, 99.0, 1.0, 43.0, 18.0, 0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 39.0, 0.0, 24.0, 17.0, 0
3.0, 2.0, 4.0, 37.31, 26.85, 19.0, 810.0, 194.0, 359.0, 1.0, 65.0, 19.0, 0
2.0, 2.0, 4.0, 53.74, 44.44, 10.0, 652.0, 149.0, 301.0, 2.0, 50.0, 18.0, 0
3.0, 2.0, 4.0, 50.26, 30.69, 18.0, 1729.0, 307.0, 740.0, 3.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 38.89, 37.5, 4.0, 632.0, 156.0, 301.0, 2.0, 50.0, 18.0, 0
6.0, 4.0, 1.0, 23.33, 29.17, 0.0, 98046295.0, 23764215.0, 51016533.0, 1598879.0, 138.0, 15031.0, 1.0
5.0, 4.0, 1.0, 21.33, 26.67, 0.0, 2970501.0, 517068.0, 1397718.0, 31154.0, 120.0, 467.0, 0
4.0, 4.0, 1.0, 32.78, 40.97, 0.0, 4282734.0, 834055.0, 2060526.0, 69781.0, 102.0, 687.0, 0
2.0, 4.0, 1.0, 6.67, 8.33, 0.0, 5955.0, 871.0, 2612.0, 94.0, 66.0, 19.0, 0
4.0, 4.0, 2.0, 21.97, 25.79, 2.0, 476801.0, 75019.0, 225764.0, 4112.0, 109.0, 94.0, 0
5.0, 4.0, 2.0, 13.48, 5.08, 16.0, 1445392.0, 137458.0, 617349.0, 12684.0, 128.0, 216.0, 0
3.0, 4.0, 2.0, 26.14, 31.48, 1.0, 30287.0, 2996.0, 11744.0, 248.0, 91.0, 21.0, 0
4.0, 4.0, 2.0, 22.5, 28.12, 0.0, 119372.0, 15841.0, 52839.0, 854.0, 109.0, 37.0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.0, 6.0, 2.0, 41.16, 29.48, 29.0, 93395119.0, 16549396.0, 44803903.0, 784990.0, 185.0, 15090.0, 1.0
5.0, 6.0, 2.0, 28.55, 23.65, 13.0, 98727331.0, 13144623.0, 45231559.0, 652877.0, 163.0, 15035.0, 1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
