Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime, Timeout
1.0, 2.0, 1.0, 10.0, 12.5, 0.0, 55.0, 25.0, 38.0, 0.0, 24.0, 16.0, 0
2.0, 2.0, 1.0, 4.44, 5.56, 0.0, 391.0, 92.0, 171.0, 2.0, 46.0, 17.0, 0
2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 219.0, 51.0, 100.0, 1.0, 43.0, 18.0, 0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 39.0, 0.0, 24.0, 16.0, 0
3.0, 2.0, 4.0, 37.31, 26.85, 19.0, 781.0, 188.0, 346.0, 1.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 53.74, 44.44, 10.0, 602.0, 152.0, 286.0, 2.0, 50.0, 18.0, 0
3.0, 2.0, 4.0, 50.26, 30.69, 18.0, 1760.0, 341.0, 773.0, 4.0, 65.0, 17.0, 0
2.0, 2.0, 4.0, 38.89, 37.5, 4.0, 585.0, 125.0, 270.0, 2.0, 50.0, 18.0, 0
6.0, 4.0, 1.0, 23.33, 29.17, 0.0, 384986258.0, 81756311.0, 174046470.0, 3478337.0, 138.0, 60137.0, 1.0
5.0, 4.0, 1.0, 21.33, 26.67, 0.0, 92630672.0, 18243244.0, 41368714.0, 611639.0, 120.0, 13647.0, 0
4.0, 4.0, 1.0, 32.78, 40.97, 0.0, 108943396.0, 20441847.0, 49227956.0, 662151.0, 102.0, 16198.0, 0
2.0, 4.0, 1.0, 6.67, 8.33, 0.0, 3370.0, 570.0, 1416.0, 32.0, 66.0, 18.0, 0
4.0, 4.0, 2.0, 21.97, 25.79, 2.0, 1240584.0, 68839.0, 528250.0, 3734.0, 109.0, 178.0, 0
5.0, 4.0, 2.0, 13.48, 5.08, 16.0, 3925076.0, 343687.0, 1619448.0, 13816.0, 128.0, 550.0, 0
3.0, 4.0, 2.0, 26.14, 31.48, 1.0, 122336.0, 5066.0, 47190.0, 398.0, 91.0, 32.0, 0
4.0, 4.0, 2.0, 22.5, 28.12, 0.0, 689669.0, 78572.0, 310607.0, 3059.0, 109.0, 122.0, 0
6.0, 6.0, 1.0, 13.33, 16.67, 0.0, 453448066.0, 94883956.0, 198730292.0, 2884030.0, 174.0, 60111.0, 1.0
6.0, 6.0, 1.0, 26.67, 33.33, 0.0, 406545535.0, 86691299.0, 184657828.0, 2799878.0, 174.0, 60032.0, 1.0
4.0, 6.0, 1.0, 6.67, 8.33, 0.0, 8648099.0, 1535833.0, 3739672.0, 72382.0, 130.0, 1319.0, 0
5.0, 6.0, 1.0, 14.44, 18.06, 0.0, 373195716.0, 75741462.0, 168603598.0, 3009289.0, 152.0, 60092.0, 1.0
7.0, 6.0, 2.0, 21.9, 15.87, 23.0, 453560364.0, 50948261.0, 190261223.0, 1791264.0, 207.0, 60076.0, 1.0
7.0, 6.0, 2.0, 31.94, 22.87, 30.0, 454022730.0, 52459446.0, 192453903.0, 1458770.0, 207.0, 60076.0, 1.0
6.0, 6.0, 2.0, 31.35, 26.31, 17.0, 478718451.0, 35105260.0, 195393362.0, 1278847.0, 185.0, 60076.0, 1.0
5.0, 6.0, 2.0, 29.06, 24.29, 13.0, 437653439.0, 44533660.0, 185231102.0, 1387215.0, 163.0, 60106.0, 1.0
