Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime, Timeout
1.0, 2.0, 1.0, 10.0, 12.5, 0.0, 55.0, 25.0, 38.0, 0.0, 24.0, 16.0, 0
2.0, 2.0, 1.0, 4.44, 5.56, 0.0, 415.0, 106.0, 188.0, 2.0, 46.0, 21.0, 0
2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 219.0, 51.0, 100.0, 1.0, 43.0, 18.0, 0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 39.0, 0.0, 24.0, 17.0, 0
3.0, 2.0, 4.0, 37.31, 26.85, 19.0, 769.0, 189.0, 339.0, 2.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 53.74, 44.44, 10.0, 610.0, 152.0, 288.0, 2.0, 50.0, 18.0, 0
3.0, 2.0, 4.0, 50.26, 30.69, 18.0, 1980.0, 429.0, 894.0, 6.0, 65.0, 21.0, 0
2.0, 2.0, 4.0, 38.89, 37.5, 4.0, 719.0, 208.0, 352.0, 0.0, 50.0, 18.0, 0
6.0, 4.0, 1.0, 23.33, 29.17, 0.0, 388195416.0, 84099903.0, 178321618.0, 3547544.0, 138.0, 60063.0, 1.0
5.0, 4.0, 1.0, 21.33, 26.67, 0.0, 92706128.0, 18293608.0, 41418360.0, 613088.0, 120.0, 13844.0, 0
4.0, 4.0, 1.0, 32.78, 40.97, 0.0, 109016627.0, 20442332.0, 49254206.0, 663053.0, 102.0, 16472.0, 0
2.0, 4.0, 1.0, 6.67, 8.33, 0.0, 3417.0, 535.0, 1418.0, 30.0, 66.0, 19.0, 0
4.0, 4.0, 2.0, 21.97, 25.79, 2.0, 2002129.0, 167583.0, 872330.0, 7215.0, 109.0, 311.0, 0
5.0, 4.0, 2.0, 13.48, 5.08, 16.0, 4204194.0, 378317.0, 1736564.0, 14450.0, 128.0, 586.0, 0
3.0, 4.0, 2.0, 26.14, 31.48, 1.0, 206211.0, 10938.0, 80860.0, 752.0, 91.0, 41.0, 0
4.0, 4.0, 2.0, 22.5, 28.12, 0.0, 506360.0, 48303.0, 225126.0, 2085.0, 109.0, 94.0, 0
6.0, 6.0, 1.0, 13.89, 17.36, 0.0, 493549503.0, 53864408.0, 201582480.0, 2776696.0, 174.0, 60122.0, 1.0
6.0, 6.0, 1.0, 25.42, 31.78, 0.0, 431458100.0, 94240800.0, 192250614.0, 2990411.0, 174.0, 60107.0, 1.0
4.0, 6.0, 1.0, 6.67, 8.33, 0.0, 8652323.0, 1536469.0, 3741387.0, 72405.0, 130.0, 1330.0, 0
5.0, 6.0, 1.0, 14.22, 17.78, 0.0, 378884871.0, 83805671.0, 173230655.0, 3307447.0, 152.0, 60062.0, 1.0
7.0, 6.0, 2.0, 21.9, 15.87, 23.0, 465064156.0, 36737118.0, 186692817.0, 1602319.0, 207.0, 60142.0, 1.0
7.0, 6.0, 2.0, 38.34, 24.06, 42.0, 415324817.0, 49866919.0, 182618034.0, 2292188.0, 207.0, 60062.0, 1.0
6.0, 6.0, 2.0, 31.35, 26.31, 17.0, 466568686.0, 35103508.0, 189895606.0, 1359502.0, 185.0, 60076.0, 1.0
5.0, 6.0, 2.0, 28.55, 23.65, 13.0, 442516785.0, 44360149.0, 187338803.0, 1382934.0, 163.0, 60112.0, 1.0
13.0, 8.0, 1.0, 23.74, 29.67, 0.0, 453514978.0, 61913775.0, 189551292.0, 2037100.0, 392.0, 60091.0, 1.0
