Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime, Timeout
1.0, 2.0, 1.0, 10.0, 12.5, 0.0, 55.0, 25.0, 38.0, 0.0, 24.0, 16.0, 0
2.0, 2.0, 1.0, 4.44, 5.56, 0.0, 391.0, 92.0, 171.0, 2.0, 46.0, 17.0, 0
2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 219.0, 51.0, 100.0, 1.0, 43.0, 18.0, 0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 39.0, 0.0, 24.0, 16.0, 0
3.0, 2.0, 4.0, 37.31, 26.85, 19.0, 778.0, 189.0, 347.0, 2.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 53.74, 44.44, 10.0, 602.0, 152.0, 286.0, 2.0, 50.0, 18.0, 0
3.0, 2.0, 4.0, 50.26, 30.69, 18.0, 1760.0, 341.0, 773.0, 4.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 38.89, 37.5, 4.0, 720.0, 208.0, 351.0, 0.0, 50.0, 18.0, 0
6.0, 4.0, 1.0, 23.33, 29.17, 0.0, 378596633.0, 80404120.0, 171153848.0, 3423974.0, 138.0, 60155.0, 1.0
5.0, 4.0, 1.0, 21.33, 26.67, 0.0, 92630672.0, 18243244.0, 41368714.0, 611639.0, 120.0, 13961.0, 0
4.0, 4.0, 1.0, 32.78, 40.97, 0.0, 108833721.0, 20443634.0, 49186224.0, 662151.0, 102.0, 16373.0, 0
2.0, 4.0, 1.0, 6.67, 8.33, 0.0, 3370.0, 570.0, 1416.0, 32.0, 66.0, 18.0, 0
4.0, 4.0, 2.0, 21.97, 25.79, 2.0, 4667706.0, 430534.0, 2043357.0, 18174.0, 109.0, 652.0, 0
5.0, 4.0, 2.0, 13.48, 5.08, 16.0, 4441796.0, 357107.0, 1821904.0, 15051.0, 128.0, 615.0, 0
3.0, 4.0, 2.0, 26.14, 31.48, 1.0, 111729.0, 5195.0, 43344.0, 367.0, 91.0, 30.0, 0
4.0, 4.0, 2.0, 22.5, 28.12, 0.0, 737950.0, 89988.0, 333277.0, 3333.0, 109.0, 132.0, 0
6.0, 6.0, 1.0, 13.33, 16.67, 0.0, 462990693.0, 96860432.0, 202916781.0, 2940021.0, 174.0, 60047.0, 1.0
6.0, 6.0, 1.0, 26.67, 33.33, 0.0, 395617406.0, 84374031.0, 179717903.0, 2725269.0, 174.0, 60140.0, 1.0
4.0, 6.0, 1.0, 6.67, 8.33, 0.0, 8648120.0, 1535833.0, 3739679.0, 72382.0, 130.0, 1349.0, 0
5.0, 6.0, 1.0, 14.44, 18.06, 0.0, 381060347.0, 77394704.0, 172124245.0, 3072055.0, 152.0, 60031.0, 1.0
7.0, 6.0, 2.0, 22.26, 16.33, 23.0, 478197375.0, 31892548.0, 189789525.0, 1456176.0, 207.0, 60182.0, 1.0
7.0, 6.0, 2.0, 42.73, 23.87, 52.0, 403496137.0, 70357177.0, 184910617.0, 2627673.0, 207.0, 60076.0, 1.0
6.0, 6.0, 2.0, 31.53, 26.54, 17.0, 454431299.0, 33665306.0, 186228670.0, 1243055.0, 185.0, 60124.0, 1.0
5.0, 6.0, 2.0, 29.06, 24.29, 13.0, 446110758.0, 43766370.0, 188656186.0, 1403186.0, 163.0, 60032.0, 1.0
