Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime, Timeout
1.0, 2.0, 1.0, 10.0, 12.5, 0.0, 55.0, 25.0, 38.0, 0.0, 24.0, 17.0, 0
2.0, 2.0, 1.0, 4.44, 5.56, 0.0, 415.0, 106.0, 188.0, 2.0, 46.0, 19.0, 0
2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 219.0, 51.0, 100.0, 1.0, 43.0, 20.0, 0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 39.0, 0.0, 24.0, 16.0, 0
3.0, 2.0, 4.0, 37.31, 26.85, 19.0, 768.0, 191.0, 341.0, 2.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 53.74, 44.44, 10.0, 610.0, 152.0, 288.0, 2.0, 50.0, 17.0, 0
3.0, 2.0, 4.0, 50.26, 30.69, 18.0, 1980.0, 429.0, 894.0, 6.0, 65.0, 18.0, 0
2.0, 2.0, 4.0, 38.89, 37.5, 4.0, 585.0, 122.0, 269.0, 2.0, 50.0, 18.0, 0
6.0, 4.0, 1.0, 23.33, 29.17, 0.0, 376553046.0, 81585579.0, 173007704.0, 3441600.0, 138.0, 60092.0, 1.0
5.0, 4.0, 1.0, 21.33, 26.67, 0.0, 92706128.0, 18293608.0, 41418360.0, 613088.0, 120.0, 13755.0, 0
4.0, 4.0, 1.0, 32.78, 40.97, 0.0, 108893974.0, 20444199.0, 49209370.0, 663053.0, 102.0, 16137.0, 0
2.0, 4.0, 1.0, 6.67, 8.33, 0.0, 3411.0, 535.0, 1416.0, 30.0, 66.0, 18.0, 0
4.0, 4.0, 2.0, 21.97, 25.79, 2.0, 1265737.0, 74360.0, 540774.0, 3827.0, 109.0, 179.0, 0
5.0, 4.0, 2.0, 13.48, 5.08, 16.0, 4701568.0, 381404.0, 1928334.0, 15568.0, 128.0, 648.0, 0
3.0, 4.0, 2.0, 26.14, 31.48, 1.0, 191363.0, 9965.0, 75031.0, 696.0, 91.0, 40.0, 0
4.0, 4.0, 2.0, 22.5, 28.12, 0.0, 535256.0, 51584.0, 237166.0, 2218.0, 109.0, 98.0, 0
6.0, 6.0, 1.0, 13.89, 17.36, 0.0, 493200545.0, 53834900.0, 201443495.0, 2774779.0, 174.0, 60227.0, 1.0
6.0, 6.0, 1.0, 25.42, 31.78, 0.0, 427041342.0, 93264282.0, 190274477.0, 2962008.0, 174.0, 60107.0, 1.0
4.0, 6.0, 1.0, 6.67, 8.33, 0.0, 8652344.0, 1536469.0, 3741394.0, 72405.0, 130.0, 1337.0, 0
5.0, 6.0, 1.0, 14.22, 17.78, 0.0, 375766788.0, 83150194.0, 171774125.0, 3281206.0, 152.0, 60031.0, 1.0
7.0, 6.0, 2.0, 21.9, 15.87, 23.0, 419259307.0, 53949964.0, 182037706.0, 2048484.0, 207.0, 60091.0, 1.0
7.0, 6.0, 2.0, 38.34, 24.06, 42.0, 419580228.0, 55422579.0, 186268565.0, 2146240.0, 207.0, 60062.0, 1.0
6.0, 6.0, 2.0, 31.35, 26.31, 17.0, 475812771.0, 37856250.0, 194500232.0, 1421683.0, 185.0, 60092.0, 1.0
5.0, 6.0, 2.0, 28.55, 23.65, 13.0, 451478157.0, 43992558.0, 190806731.0, 1400336.0, 163.0, 60031.0, 1.0
13.0, 8.0, 1.0, 23.74, 29.67, 0.0, 452232716.0, 61739859.0, 189016574.0, 2031533.0, 392.0, 60038.0, 1.0
9.0, 8.0, 1.0, 19.68, 24.6, 0.0, 449868332.0, 95917084.0, 194393473.0, 2512076.0, 288.0, 60107.0, 1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8.0, 8.0, 1.0, 8.41, 10.52, 0.0, 395416208.0, 79236850.0, 175522638.0, 2924822.0, 262.0, 60127.0, 1.0
13.0, 8.0, 2.0, 34.92, 30.72, 46.0, 470337022.0, 48257565.0, 194116262.0, 1528343.0, 406.0, 60227.0, 1.0
7.0, 8.0, 2.0, 29.02, 20.98, 30.0, 469694424.0, 35633681.0, 192559049.0, 1284005.0, 250.0, 60121.0, 1.0
8.0, 8.0, 2.0, 26.83, 28.14, 8.0, 463733863.0, 71707446.0, 196629002.0, 1776355.0, 276.0, 60032.0, 1.0
7.0, 8.0, 2.0, 18.38, 19.64, 6.0, 515311364.0, 38333040.0, 202398198.0, 1446792.0, 250.0, 60092.0, 1.0
12.0, 10.0, 1.0, 14.68, 18.35, 0.0, 461832113.0, 88846478.0, 199663778.0, 2557565.0, 426.0, 60031.0, 1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 10.0, 2.0, 36.07, 39.98, 10.0, 504560808.0, 53158086.0, 202662392.0, 1310653.0, 383.0, 60062.0, 1.0
9.0, 10.0, 2.0, 24.51, 25.31, 13.0, 512690962.0, 57843594.0, 210753613.0, 1370821.0, 353.0, 60136.0, 1.0
