Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime
4.0, 2.0, 1.0, 8.38, 10.48, 0.0, 1762.0, 327.0, 809.0, 2.0, 78.0, 18.0
2.0, 2.0, 1.0, 2.99, 3.74, 0.0, 533.0, 140.0, 249.0, 3.0, 48.0, 18.0
3.0, 2.0, 1.0, 8.08, 10.1, 0.0, 7506.0, 1186.0, 3288.0, 43.0, 63.0, 19.0
2.0, 2.0, 1.0, 17.33, 21.66, 0.0, 863.0, 205.0, 411.0, 5.0, 48.0, 19.0
3.0, 2.0, 1.0, 12.19, 15.24, 0.0, 2121.0, 483.0, 968.0, 11.0, 63.0, 18.0
2.0, 2.0, 1.0, 12.95, 16.19, 0.0, 2146.0, 316.0, 975.0, 16.0, 48.0, 19.0
2.0, 2.0, 1.0, 2.5, 3.12, 0.0, 515.0, 140.0, 243.0, 3.0, 48.0, 19.0
3.0, 2.0, 1.0, 4.37, 5.46, 0.0, 1999.0, 395.0, 899.0, 9.0, 63.0, 20.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.0, 2.0, 1.0, 7.68, 9.61, 0.0, 658.0, 142.0, 308.0, 0.0, 48.0, 19.0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 40.0, 0.0, 24.0, 16.0
1.0, 2.0, 1.0, 0.4, 0.5, 0.0, 57.0, 25.0, 40.0, 0.0, 24.0, 17.0
2.0, 2.0, 1.0, 17.33, 21.66, 0.0, 447.0, 108.0, 206.0, 1.0, 48.0, 18.0
2.0, 2.0, 1.0, 0.2, 0.25, 0.0, 378.0, 92.0, 170.0, 3.0, 48.0, 19.0
1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 57.0, 25.0, 40.0, 0.0, 24.0, 16.0
2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 228.0, 51.0, 105.0, 1.0, 43.0, 25.0
3.0, 2.0, 1.0, 9.09, 11.36, 0.0, 3010.0, 565.0, 1353.0, 14.0, 63.0, 19.0
2.0, 2.0, 1.0, 19.96, 24.95, 0.0, 2018.0, 442.0, 953.0, 16.0, 48.0, 18.0
3.0, 2.0, 1.0, 9.06, 11.33, 0.0, 1742.0, 324.0, 781.0, 6.0, 63.0, 18.0
2.0, 2.0, 1.0, 2.46, 3.07, 0.0, 606.0, 123.0, 277.0, 4.0, 48.0, 18.0
3.0, 2.0, 4.0, 7.23, 9.04, 19.0, 4410.0, 709.0, 1868.0, 24.0, 65.0, 19.0
2.0, 2.0, 4.0, 22.99, 3.74, 14.0, 438.0, 122.0, 211.0, 0.0, 50.0, 18.0
1.0, 2.0, 4.0, 0.0, 0.0, 0.0, 55.0, 25.0, 39.0, 0.0, 24.0, 16.0
2.0, 2.0, 4.0, 23.31, 4.13, 12.0, 207.0, 45.0, 101.0, 0.0, 43.0, 17.0
2.0, 2.0, 4.0, 12.95, 16.19, 9.0, 736.0, 192.0, 358.0, 0.0, 50.0, 18.0
2.0, 2.0, 4.0, 5.24, 6.55, 0.0, 443.0, 94.0, 194.0, 3.0, 48.0, 18.0
2.0, 2.0, 4.0, 17.89, 22.36, 0.0, 949.0, 205.0, 447.0, 5.0, 48.0, 18.0
2.0, 2.0, 4.0, 14.44, 18.04, 0.0, 820.0, 181.0, 392.0, 3.0, 48.0, 18.0
2.0, 2.0, 4.0, 29.83, 12.28, 10.0, 589.0, 158.0, 288.0, 1.0, 52.0, 18.0
3.0, 2.0, 4.0, 22.53, 3.17, 28.0, 744.0, 178.0, 325.0, 2.0, 66.0, 18.0
3.0, 2.0, 4.0, 39.21, 24.02, 15.0, 409.0, 61.0, 172.0, 0.0, 58.0, 16.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 2.0, 4.0, 0.99, 1.23, 0.0, 57.0, 25.0, 40.0, 0.0, 24.0, 16.0
3.0, 2.0, 4.0, 17.45, 21.81, 17.0, 1050.0, 226.0, 461.0, 2.0, 68.0, 19.0
2.0, 2.0, 4.0, 27.0, 33.75, 3.0, 423.0, 119.0, 204.0, 1.0, 52.0, 20.0
2.0, 2.0, 4.0, 3.6, 4.5, 15.0, 585.0, 134.0, 282.0, 1.0, 52.0, 19.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.0, 2.0, 4.0, 33.83, 17.29, 15.0, 947.0, 180.0, 409.0, 1.0, 67.0, 19.0
2.0, 2.0, 4.0, 2.32, 2.91, 0.0, 414.0, 106.0, 188.0, 2.0, 48.0, 18.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4.0, 4.0, 1.0, 16.48, 20.6, 0.0, 7816214.0, 1261100.0, 3629312.0, 47125.0, 106.0, 1238.0
5.0, 4.0, 1.0, 4.41, 5.51, 0.0, 33238215.0, 4071902.0, 14351800.0, 265364.0, 125.0, 5036.0
4.0, 4.0, 1.0, 6.34, 7.93, 0.0, 35282628.0, 4699685.0, 15369338.0, 215744.0, 106.0, 5031.0
6.0, 4.0, 1.0, 6.69, 8.36, 0.0, 36457154.0, 5456144.0, 15990271.0, 184198.0, 144.0, 5033.0
4.0, 4.0, 1.0, 4.53, 5.66, 0.0, 1137262.0, 176689.0, 495539.0, 8745.0, 106.0, 180.0
5.0, 4.0, 1.0, 8.18, 10.23, 0.0, 32841851.0, 6279408.0, 14934077.0, 256188.0, 125.0, 5031.0
5.0, 4.0, 1.0, 5.48, 6.86, 0.0, 33867820.0, 4822983.0, 14854232.0, 236292.0, 125.0, 5032.0
5.0, 4.0, 1.0, 2.68, 3.35, 0.0, 2372661.0, 305565.0, 1043527.0, 19220.0, 125.0, 458.0
6.0, 4.0, 1.0, 3.67, 4.59, 0.0, 34632825.0, 6198702.0, 15624014.0, 233878.0, 144.0, 5039.0
5.0, 4.0, 1.0, 5.95, 7.44, 0.0, 34382824.0, 4866879.0, 15083508.0, 202165.0, 125.0, 5046.0
4.0, 4.0, 1.0, 1.15, 1.44, 0.0, 97276.0, 17748.0, 43857.0, 684.0, 106.0, 36.0
5.0, 4.0, 1.0, 10.75, 13.44, 0.0, 32239602.0, 6159124.0, 14600605.0, 181706.0, 125.0, 5040.0
5.0, 4.0, 1.0, 3.87, 4.84, 0.0, 4601012.0, 646087.0, 2007407.0, 32912.0, 125.0, 751.0
4.0, 4.0, 1.0, 0.99, 1.23, 0.0, 88427.0, 17526.0, 40217.0, 1018.0, 106.0, 33.0
4.0, 4.0, 1.0, 5.73, 7.16, 0.0, 381965.0, 47886.0, 171521.0, 2424.0, 106.0, 74.0
4.0, 4.0, 1.0, 4.64, 5.8, 0.0, 26168421.0, 4184787.0, 11520344.0, 184776.0, 106.0, 3848.0
5.0, 4.0, 1.0, 11.93, 14.91, 0.0, 31794988.0, 5488443.0, 14647337.0, 195691.0, 125.0, 5031.0
4.0, 4.0, 1.0, 9.74, 12.18, 0.0, 34517485.0, 5276199.0, 15596477.0, 199744.0, 106.0, 5030.0
2.0, 4.0, 1.0, 2.02, 2.53, 0.0, 5013.0, 715.0, 2116.0, 52.0, 68.0, 19.0
3.0, 4.0, 1.0, 8.87, 11.09, 0.0, 578145.0, 93557.0, 244048.0, 4095.0, 87.0, 90.0
4.0, 4.0, 2.0, 0.9, 1.12, 28.0, 23765.0, 3861.0, 10786.0, 221.0, 113.0, 22.0
5.0, 4.0, 2.0, 4.14, 5.17, 8.0, 16897809.0, 2665635.0, 7567579.0, 137695.0, 133.0, 2736.0
4.0, 4.0, 2.0, 6.0, 7.5, 15.0, 1416296.0, 241405.0, 614103.0, 8069.0, 114.0, 214.0
6.0, 4.0, 2.0, 4.35, 5.44, 0.0, 32843561.0, 5162095.0, 14462982.0, 259703.0, 152.0, 5031.0
